thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_rest.keys,key_rest.rt,key_rest.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fixation.stopped,trial_prac.started,prac_key_resp.started,trial_prac.stopped,practice_loop.prac_key_resp.keys,practice_loop.prac_key_resp.corr,practice_loop.prac_key_resp.rt,practice_loop.prac_key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,trial.started,key_resp.started,trial.stopped,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,ITI_text.stopped,rest_routine.started,rest_routine.stopped,formal_loop.key_rest.keys,fix_text.stopped,rest_text.started,key_rest.started,formal_loop.key_rest.rt,formal_loop.key_rest.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,12,0,feature,left,,,,,left,1,0.86733830004232,None,None,,,,,,,,,,,0,0,0,16,39.56599570001708,,,,,,,,,,,,,,,,,,,39.54686240002047,39.56599570001708,40.0370835000067,,,,,,,,,,,40.953735499992035,40.96601199998986,41.45383130002301,,,,,,,,,,,40.05919200001517,40.082212100038305,40.9536655000411,left,1,0.86733830004232,None,41.466543500020634,41.45387130003655,41.45390910003334,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
1,1,0,12,1,feature,right,,,,,right,1,1.3138404000201263,None,None,,,,,,,,,,,0,1,1,1,41.466543500020634,,,,,,,,,,,,,,,,,,,41.45411310001509,41.466543500020634,41.95279990002746,,,,,,,,,,,43.320037900004536,43.33301060000667,43.81980860000476,,,,,,,,,,,41.971887000021525,41.998625900014304,43.31997110001976,right,1,1.3138404000201263,None,43.832988500013016,43.81985570001416,43.819894000014756,None,41.998625900014304,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
2,2,0,12,1,conjunction,right,,,,,right,1,0.6428169999853708,None,None,,,,,,,,,,,0,2,2,7,43.832988500013016,,,,,,,,,,,,,,,,,,,43.8201684000087,43.832988500013016,44.32130320003489,,,,,,,,,,,45.036668799992185,45.049252400000114,45.53921250003623,,,,,,,,,,,44.35851570003433,44.38208619999932,45.03659600001993,right,1,0.6428169999853708,None,,45.53928950004047,45.53934780001873,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
3,3,0,4,0,feature,left,,,,,left,1,0.6850487000192516,None,None,,,,,,,,,,,0,3,3,3,45.54994140000781,,,,,,,,,,,,,,,,,,,45.5397678000154,45.54994140000781,46.037854599999264,,,,,,,,,,,46.753752499993425,46.76546960003907,47.252923500025645,,,,,,,,,,,46.04818380001234,46.06480560003547,46.75367040000856,left,1,0.6850487000192516,None,47.26591890002601,47.25296750001144,47.25300180003978,None,46.06480560003547,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
4,4,0,4,1,feature,right,,,,,right,1,0.6182231999700889,None,None,,,,,,,,,,,0,4,4,12,47.26591890002601,,,,,,,,,,,,,,,,,,,47.25321350002196,47.26591890002601,47.75431570003275,,,,,,,,,,,48.40401570004178,48.41548780002631,48.905954400019255,,,,,,,,,,,47.76629679999314,47.78164010000182,48.40392770001199,right,1,0.6182231999700889,None,,48.90603419998661,48.906095499987714,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
5,5,0,24,1,feature,right,,,,,right,1,0.5224322000285611,None,None,,,,,,,,,,,0,5,5,14,48.91604520002147,,,,,,,,,,,,,,,,,,,48.906430100032594,48.91604520002147,49.40144839999266,,,,,,,,,,,50.00286700000288,50.0152514000074,50.50299489998724,,,,,,,,,,,49.437244300032035,49.464629900001455,50.002800500020385,right,1,0.5224322000285611,None,50.515661699988414,50.50304460001644,50.503085100033786,None,49.464629900001455,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
6,6,0,24,0,feature,left,,,,,left,1,0.5687548999558203,None,None,,,,,,,,,,,0,6,6,29,50.515661699988414,,,,,,,,,,,,,,,,,,,50.5033430000185,50.515661699988414,51.002925500040874,,,,,,,,,,,51.655903900042176,51.66491870000027,52.15128980000736,,,,,,,,,,,51.04806210001698,51.08117389999097,51.65581780002685,left,1,0.5687548999558203,None,52.16453090001596,52.15132629999425,52.15135520003969,None,51.08117389999097,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
7,7,0,12,0,conjunction,left,,,,,left,1,0.935316100018099,None,None,,,,,,,,,,,0,7,7,22,52.16453090001596,,,,,,,,,,,,,,,,,,,52.15155040001264,52.16453090001596,52.65283710003132,,,,,,,,,,,53.65212220000103,53.66456720000133,54.151725200004876,,,,,,,,,,,52.687218500010204,52.714288100018166,53.6520558000193,left,1,0.935316100018099,None,54.164369700010866,54.15176670002984,54.151799499988556,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
8,8,0,12,0,conjunction,left,,,,,left,1,0.648344499990344,None,None,,,,,,,,,,,0,8,8,10,54.164369700010866,,,,,,,,,,,,,,,,,,,54.15201200003503,54.164369700010866,54.65249529998982,,,,,,,,,,,55.37074360001134,55.38153770001372,55.868108900031075,,,,,,,,,,,54.686861800029874,54.71385130000999,55.37065070000244,left,1,0.648344499990344,None,55.881143900041934,55.86814370000502,55.86817010003142,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
9,9,0,24,0,conjunction,left,,,,,left,1,0.5735749000450596,None,None,,,,,,,,,,,0,9,9,23,55.881143900041934,,,,,,,,,,,,,,,,,,,55.8683316000388,55.881143900041934,56.367024999985006,,,,,,,,,,,57.05230710003525,57.06428849999793,57.55015170003753,,,,,,,,,,,56.42732140002772,56.463519599987194,57.05224260000978,left,1,0.5735749000450596,None,57.56433580000885,57.55018750001909,57.550210600020364,None,56.463519599987194,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
10,10,0,4,0,feature,left,,,,,left,1,0.5954201000276953,None,None,,,,,,,,,,,0,10,10,15,57.56433580000885,,,,,,,,,,,,,,,,,,,57.550358100037556,57.56433580000885,58.05471120000584,,,,,,,,,,,58.688311900012195,58.69750040001236,59.1831754000159,,,,,,,,,,,58.065937000035774,58.07995839999057,58.688178799988236,left,1,0.5954201000276953,None,59.19745570002124,59.18320880003739,59.18323299998883,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
11,11,0,12,1,conjunction,right,,,,,right,1,0.5696469999966212,None,None,,,,,,,,,,,0,11,11,19,59.19745570002124,,,,,,,,,,,,,,,,,,,59.18339309998555,59.19745570002124,59.68367420003051,,,,,,,,,,,60.3040914000012,60.3141675000079,60.800879599992186,,,,,,,,,,,59.712559600011446,59.72997290000785,60.30400260002352,right,1,0.5696469999966212,None,60.81417600001441,60.80092030001106,60.8009515000158,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
12,12,0,12,1,feature,right,,,,,right,1,0.503240599995479,None,None,,,,,,,,,,,0,12,12,13,60.81417600001441,,,,,,,,,,,,,,,,,,,60.801160800037906,60.81417600001441,61.30157410004176,,,,,,,,,,,61.851554699998815,61.86392899998464,62.35125649999827,,,,,,,,,,,61.321008900005836,61.34650019998662,61.851474300026894,right,1,0.503240599995479,None,62.36415099998703,62.35130159999244,62.35133540001698,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
13,13,0,24,0,feature,left,,,,,left,1,0.586301299976185,None,None,,,,,,,,,,,0,13,13,5,62.36415099998703,,,,,,,,,,,,,,,,,,,62.35154380003223,62.36415099998703,62.85081710002851,,,,,,,,,,,63.50199810002232,63.51361389999511,64.00100510002812,,,,,,,,,,,62.88933999999426,62.91331780003384,63.501926099997945,left,1,0.586301299976185,None,64.01350350002758,64.00104820000706,64.00108130002627,None,62.91331780003384,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
14,14,0,12,0,feature,left,,,,,left,1,0.5786184000317007,None,None,,,,,,,,,,,0,14,14,4,64.01350350002758,,,,,,,,,,,,,,,,,,,64.00128180003958,64.01350350002758,64.5012569000246,,,,,,,,,,,65.13359300000593,65.1461505999905,65.63305300002685,,,,,,,,,,,64.52535690000514,64.54575829999521,65.133520900039,left,1,0.5786184000317007,None,65.64650590001838,65.63309330004267,65.63312210002914,None,64.54575829999521,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
15,15,0,4,1,conjunction,right,,,,,right,1,0.8376840999699198,None,None,,,,,,,,,,,0,15,15,30,65.64650590001838,,,,,,,,,,,,,,,,,,,65.63336720003281,65.64650590001838,66.13374610000756,,,,,,,,,,,67.00293570000213,67.01325630000792,67.5024491000222,,,,,,,,,,,66.14502739999443,66.16224430000875,67.00282230001176,right,1,0.8376840999699198,None,67.51390070002526,67.50251329998719,67.50256420002552,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
16,16,0,12,1,conjunction,right,,,,,left,0,0.6998691000044346,None,None,,,,,,,,,,,0,16,16,31,67.51390070002526,,,,,,,,,,,,,,,,,,,67.50287170003867,67.51390070002526,68.00264050002443,,,,,,,,,,,68.76646680000704,68.77919380000094,69.26661749999039,,,,,,,,,,,68.04637200001162,68.06246650003595,68.76640339998994,left,0,0.6998691000044346,None,,69.26666810002644,69.26670189999277,None,68.06246650003595,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
17,17,0,24,1,feature,right,,,,,right,1,0.709131800045725,None,None,,,,,,,,,,,0,17,17,26,69.28032680001343,,,,,,,,,,,,,,,,,,,69.26689450000413,69.28032680001343,69.76622889999999,,,,,,,,,,,70.5526463999995,70.56263800000306,71.04910639999434,,,,,,,,,,,69.80244930001209,69.82880290003959,70.55253580003045,right,1,0.709131800045725,None,71.06256560003385,71.04914650000865,71.0491905999952,None,69.82880290003959,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
18,18,0,12,0,feature,left,,,,,left,1,0.8921579000307247,None,None,,,,,,,,,,,0,18,18,28,71.06256560003385,,,,,,,,,,,,,,,,,,,71.04938260000199,71.06256560003385,71.55155540001579,,,,,,,,,,,72.5006370000192,72.51263890002156,72.99927949998528,,,,,,,,,,,71.57860270002857,71.59520370000973,72.50055310002062,left,1,0.8921579000307247,None,73.01245740003651,72.99931730004027,72.99934520001989,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
19,19,0,4,1,feature,right,,,,,left,0,0.7971353000029922,None,None,,,,,,,,,,,0,19,19,24,73.01245740003651,,,,,,,,,,,,,,,,,,,72.99953140004072,73.01245740003651,73.50044440000784,,,,,,,,,,,74.3325681000133,74.34546690003481,74.83333300001686,,,,,,,,,,,73.51136500004213,73.52818240004126,74.33249340002658,left,0,0.7971353000029922,None,,74.8333862000145,74.83342550002271,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
20,20,0,24,0,conjunction,left,,,,,left,1,0.5476975999772549,None,space,1.6542677999823354,None,,,,,,,,,0,20,20,35,74.84529840003233,,,,,,,,,,,,,,,,,,,74.83364090003306,74.84529840003233,75.33227519999491,,,,,,,,,,,75.98474340001121,75.99532470002305,76.48327900003642,,,,,,,,,,,75.39540889998898,75.42799290001858,75.9846741000074,left,1,0.5476975999772549,None,76.49567650002427,76.48332679999294,78.16562889999477,space,75.42799290001858,76.49567650002427,76.49567650002427,1.6542677999823354,None,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
21,21,0,4,1,conjunction,right,,,,,right,1,0.6019342999788933,None,None,,,,,,,,,,,0,21,21,6,78.21073660004186,,,,,,,,,,,,,,,,,,,78.16583820001688,78.21073660004186,78.68158219999168,,,,,,,,,,,79.31642400001874,79.32839219999732,79.81479460000992,,,,,,,,,,,78.69167730002664,78.71044779999647,79.31634140003007,right,1,0.6019342999788933,None,79.82804340001894,79.81483180000214,79.81486000004224,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
22,22,0,4,1,feature,right,,,,,right,1,0.7061185000347905,None,None,,,,,,,,,,,0,22,22,0,79.82804340001894,,,,,,,,,,,,,,,,,,,79.81502760003787,79.82804340001894,80.31617360003293,,,,,,,,,,,81.06572190002771,81.07799050002359,81.56761780002853,,,,,,,,,,,80.32638770004269,80.34372450003866,81.06563999998616,right,1,0.7061185000347905,None,,81.56769719999284,81.56776020000689,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
23,23,0,24,1,conjunction,right,,,,,left,0,0.6397258000215515,None,None,,,,,,,,,,,0,23,23,8,81.57824130001245,,,,,,,,,,,,,,,,,,,81.56809760001488,81.57824130001245,82.06822880002437,,,,,,,,,,,82.80085290002171,82.81114000000525,83.2980654000421,,,,,,,,,,,82.135634700011,82.16018300002906,82.80076060001738,left,0,0.6397258000215515,None,83.31160439999076,83.29810960002942,83.29814349999651,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
24,24,0,24,0,feature,left,,,,,left,1,0.5147099000168964,None,None,,,,,,,,,,,0,24,24,17,83.31160439999076,,,,,,,,,,,,,,,,,,,83.298353900027,83.31160439999076,83.79737450001994,,,,,,,,,,,84.38356470002327,84.39436660002684,84.8807175999973,,,,,,,,,,,83.83650330000091,83.8600262000109,84.38349119998747,left,1,0.5147099000168964,None,84.89444609999191,84.88075830001617,84.8807890000171,None,83.8600262000109,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
25,25,0,24,1,feature,right,,,,,right,1,0.5685958999674767,None,None,,,,,,,,,,,0,25,25,2,84.89444609999191,,,,,,,,,,,,,,,,,,,84.88105100003304,84.89444609999191,85.3814084000187,,,,,,,,,,,86.01540040003601,86.02734710002551,86.51306550001027,,,,,,,,,,,85.41942380002001,85.44356960000005,86.0153293000185,right,1,0.5685958999674767,None,86.52718249999452,86.51310049998574,86.51312680001138,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
26,26,0,12,0,conjunction,left,,,,,left,1,0.6489379999693483,None,None,,,,,,,,,,,0,26,26,34,86.52718249999452,,,,,,,,,,,,,,,,,,,86.51328640000429,86.52718249999452,87.01544180000201,,,,,,,,,,,87.73093090002658,87.7438105000183,88.23182759998599,,,,,,,,,,,87.0521437000134,87.0764614000218,87.73085779999383,left,1,0.6489379999693483,None,,88.23188949999167,88.23193539999193,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
27,27,0,4,0,conjunction,left,,,,,right,0,0.83637799997814,None,None,,,,,,,,,,,0,27,27,9,88.24378310004249,,,,,,,,,,,,,,,,,,,88.23218340001768,88.24378310004249,88.73407659999793,,,,,,,,,,,89.61701280000852,89.62675920000765,90.11462200002279,,,,,,,,,,,88.75247230002424,88.77616250002757,89.61690100003034,right,0,0.83637799997814,None,90.12751409999328,90.11466900003143,90.11470590002136,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
28,28,0,4,0,conjunction,left,,,,,right,0,0.5910823999438435,None,None,,,,,,,,,,,0,28,28,33,90.12751409999328,,,,,,,,,,,,,,,,,,,90.11493320000591,90.12751409999328,90.61970640002983,,,,,,,,,,,91.26444520003861,91.27652080002008,91.76470070000505,,,,,,,,,,,90.63984000001801,90.65903819998493,91.26435509999283,right,0,0.5910823999438435,None,,91.76475690002553,91.76479879999533,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
29,29,0,4,0,conjunction,left,,,,,right,0,0.5077670000027865,None,None,,,,,,,,,,,0,29,29,21,91.77671850001207,,,,,,,,,,,,,,,,,,,91.76502420002362,91.77671850001207,92.26376340002753,,,,,,,,,,,92.81452640000498,92.82679429999553,93.3139278999879,,,,,,,,,,,92.27659319998929,92.29261840000981,92.81444129999727,right,0,0.5077670000027865,None,93.32685840001795,93.31397339998512,93.31400880002184,None,92.29261840000981,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
30,30,0,24,1,conjunction,right,,,,,right,1,0.6286877000238746,None,None,,,,,,,,,,,0,30,30,32,93.32685840001795,,,,,,,,,,,,,,,,,,,93.31422980001662,93.32685840001795,93.814397500013,,,,,,,,,,,94.54744580003899,94.56238890002714,95.06288530002348,,,,,,,,,,,93.87949250004021,93.90898260002723,94.54737960000057,right,1,0.6286877000238746,None,,95.06293180002831,95.06296740000835,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
31,31,0,4,1,conjunction,right,,,,,right,1,0.5952323999954388,None,None,,,,,,,,,,,0,31,31,18,95.07611449999968,,,,,,,,,,,,,,,,,,,95.06321170000592,95.07611449999968,95.56370240001706,,,,,,,,,,,96.19707310001832,96.20907320000697,96.69989640003769,,,,,,,,,,,95.57886840001447,95.59229010000126,96.19692680001026,right,1,0.5952323999954388,None,,96.69997660000809,96.70003920001909,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
32,32,0,12,1,feature,right,,,,,right,1,0.5296732000424527,None,None,,,,,,,,,,,0,32,32,25,96.71035760000814,,,,,,,,,,,,,,,,,,,96.70037850004155,96.71035760000814,97.2126569999964,,,,,,,,,,,97.79728400002932,97.8092064000084,98.29866179998498,,,,,,,,,,,97.23339529999066,97.2584688999923,97.79720440000528,right,1,0.5296732000424527,None,,98.29871990001993,98.2987623999943,None,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
